ID,2.6.9,2.6.8,2.6.7,2.6.6,2.6.5,2.6.4,2.6.3,2.6.2,2.6.1,2.11.9,2.11.8,2.11.7,2.11.6,2.11.5,2.11.4,2.11.3,2.11.2,2.11.1,2.8.16,2.8.15,2.8.14,2.8.13,2.8.12,2.8.11,2.8.10,2.7.9,2.7.8,2.7.7,2.7.6,2.7.5,2.7.4,2.7.3,2.7.2,2.5.19,2.5.18,2.5.17,2.5.16,2.5.15,2.5.14,2.5.13,2.5.12,2.5.11,2.5.10,2.5.39,2.5.38,2.5.37,2.5.36,2.5.35,2.5.34,2.5.33,2.5.32,2.5.31,2.5.30,2.5.29,2.5.28,2.5.27,2.5.26,2.5.25,2.5.24,2.5.23,2.5.22,2.5.21,2.5.20,2.2.11,2.2.10,2.5.40,2.8.9,2.11.19,2.11.18,2.11.17,2.11.16,2.11.15,2.11.14,2.11.13,2.11.12,2.11.11,2.11.10,2.11.29,2.11.28,2.11.27,2.11.26,2.11.25,2.11.24,2.11.22,2.11.21,2.11.20,2.8.8,2.8.7,2.8.6,2.8.5,2.8.4,2.8.3,2.8.2,2.8.1,2.1.9,2.1.8,2.1.7,2.1.4,2.1.3,2.1.2,2.1.1,2.7.19,2.7.18,2.7.17,2.7.16,2.7.15,2.7.14,2.7.13,2.7.12,2.7.11,2.7.10,2.7.39,2.7.38,2.7.37,2.7.36,2.7.35,2.7.34,2.7.33,2.7.32,2.7.31,2.7.30,2.7.29,2.7.28,2.7.27,2.7.26,2.7.25,2.7.24,2.7.23,2.7.22,2.7.21,2.7.20,2.9.7,2.9.6,2.9.5,2.9.4,2.9.3,2.9.2,2.9.1,2.7.49,2.7.48,2.7.47,2.7.46,2.7.45,2.7.44,2.7.43,2.7.42,2.7.41,2.7.40,2.9.9,2.9.8,2.4.26,2.4.25,2.4.24,2.4.23,2.4.22,2.4.20,2.4.19,2.1.19,2.4.17,2.1.18,2.4.16,2.1.17,2.4.15,2.1.16,2.4.14,2.1.15,2.4.13,2.1.14,2.4.12,2.1.13,2.4.11,2.1.12,2.4.10,2.1.11,2.1.10,2.2.9,2.2.8,2.2.7,2.2.6,2.1.22,2.2.5,2.1.21,2.2.4,2.1.20,2.2.3,2.2.2,2.2.1,2.9.39,2.9.38,2.9.37,2.9.36,2.9.35,2.9.34,2.9.33,2.9.32,2.9.31,2.9.30,2.9.29,2.9.28,2.9.27,2.9.26,2.9.25,2.9.24,2.9.23,2.9.22,2.9.21,2.9.20,2.9.40,2.3.9,2.3.8,2.3.6,2.3.5,2.3.4,2.3.3,2.3.2,2.3.1,2.10.29,2.10.28,2.10.27,2.10.26,2.10.25,2.10.24,2.10.23,2.10.22,2.10.21,2.10.20,2.10.19,2.10.18,2.10.17,2.10.16,2.10.15,2.10.14,2.10.13,2.10.12,2.10.11,2.10.10,2.9.19,2.9.18,2.10.34,2.9.17,2.10.33,2.9.16,2.10.32,2.9.15,2.10.31,2.9.14,2.10.30,2.9.13,2.9.12,2.9.11,2.9.10,2.4.9,2.4.8,2.10.9,2.4.7,2.10.8,2.4.6,2.10.7,2.4.5,2.10.6,2.4.4,2.10.5,2.4.3,2.10.4,2.4.2,2.10.3,2.4.1,2.10.2,2.10.1,2.6.29,2.6.28,2.6.27,2.6.26,2.6.25,2.6.24,2.6.23,2.6.22,2.6.21,2.6.20,2.6.19,2.6.18,2.3.19,2.6.17,2.3.18,2.6.16,2.3.17,2.6.15,2.3.16,2.6.14,2.3.15,2.6.13,2.3.14,2.6.12,2.3.13,2.6.11,2.3.12,2.6.10,2.3.11,2.3.10,2.6.49,2.6.48,2.6.47,2.6.46,2.6.45,2.6.44,2.6.43,2.6.42,2.6.41,2.6.40,2.6.39,2.6.38,2.6.37,2.6.36,2.6.35,2.6.34,2.6.33,2.6.32,2.6.31,2.6.30,2.3.21,2.3.20,2.6.54,2.6.53,2.6.52,2.6.51,2.6.50,2.5.9,2.5.8,2.5.6,2.5.5,2.5.4,2.5.3,2.5.2,2.5.1
2.6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,,,47,98,64,,,,,,,,,,,,,,,,,,,,,,,,,,157,167,,,,64,,,145,61,169,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,93,121,113,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,,238,,256,172,,,,,,,,,,,,,,,,,,,,,,,,,,586,601,,,,377,,,,498,,,,,,,,,,,,,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,319,443,468,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,,494,256,,301,,,,,,,,,,,,,,,,,,,,,,,,608,609,456,375,,,,578,,,,,,,,,,,,,,,,,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,353,409,516,,709,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,,64,34,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,57,58,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,536,,,,,,,,,,,,,,,,404,257,274,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,238,359,,,,,,,,,,,,,239,,,,,,,,300,,,,,,,,,,505,,,,371,285,,,,,,317,,,,,,,,,,,,
2.6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,49,,,,,,35,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,
2.6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,371,,,,193,206,,,,,,,,,,,,,,,,,,,,,,,,
2.6.1,,,,,,,,,,,,,,,,,,,,66,111,,,,,,,,,,,,,,,,,,,,,87,,,,70,94,,,,,104,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,89,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,123,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,57,105,,,,,,,,,,,,25,,,,,,,,,
2.11.9,,,,,,,,,,,686,,1.062,,173,1.228,772,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.239,,,,,,852,,,,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.034,,,,,,,,,,,,,,,672,,,,,,1.110,,790,,752,,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
